,_id,count
0,,36145
1,지평(持平),11052
2,정언(正言),10459
3,승지(承旨),9009
4,영의정(領議政),7280
5,장령(將領),6854
6,대사헌(大司憲),6680
7,대사간(大司諫),6668
8,사간(司諫),5359
9,헌납(獻納),5216
10,좌의정(右議政),4323
11,우의정(古議政),4263
12,장령(掌令),4031
13,수찬(修撰),3952
14,예조판서(禮曹判書),3869
15,이조판서(吏曹判書),3844
16,병조판서(兵曹判書),3520
17,집의(執儀),3370
18,형조판서(刑曹判書),3136
19,사헌부대사헌(司憲府大司憲),3118
20,사간원대사간(司諫院大司諫),3078
21,이조참판(吏曹參判),2671
22,교리(敎理),2624
23,호조판서(戶曹判書),2534
24,이조참의(吏曹參議),2503
25,도승지(都承旨),2228
26,집의(執義),2210
27,공조판서(工曹判書),2054
28,우의정(右議政),2047
29,좌의정(左議政),1974
30,도승지(者承旨),1974
31,부교리(付校理),1950
32,부제학(副提學),1942
33,판서(判書),1914
34,참판(參判),1707
35,교리(校理),1661
36,응교(應敎),1634
37,동부승지(同副承旨),1607
38,부수찬(付修撰),1538
39,영사(領事),1524
40,좌승지(左承旨),1346
41,부응교(副應敎),1301
42,대사성(大司成),1282
43,시독관(侍讀官),1268
44,부교리(副校理),1228
45,판중추부사(判中樞府事),1182
46,판부사(判府事),1172
47,지사(知事),1163
48,부사(副使),1141
49,감사(監事),1114
50,한성부판윤(漢城府判尹),1100
51,성균관대사성(成均館大司成),1095
52,예조참판(禮曹參判),1083
53,부수찬(副修撰),1075
54,병조참판(兵曹參判),966
55,홍문관부제학(弘文館副提學),960
56,형조참판(刑曹參判),907
57,제조(提調),888
58,사헌부지평(司憲府持平),880
59,사헌부장령(司憲府掌令),879
60,시강관(侍講官),877
61,특진관(特進官),871
62,이조좌랑(吏曹佐郞),829
63,대제학(大提學),816
64,서장관(書狀官),807
65,호조참판(戶曹參判),799
66,사간원정언(司諫院正言),789
67,통사(通事),782
68,경기관찰사(京畿觀察使),778
69,영중추부사(領中樞府事),777
70,필선(弼善),772
71,판의금부사(判義禁府事),756
72,판의금부사(判儀禁府事),755
73,전라감사(全羅監司),755
74,평안도관찰사(平安道觀察使),754
75,우참찬(友參贊),754
76,경상감사(慶尙監司),750
77,공조참판(工曹參判),724
78,우승지(古承旨),713
79,관찰사(觀察使),711
80,이조정랑(吏曹正郞),698
81,좌참찬(左參贊),692
82,경기감사(京畿監司),680
83,참의(參義),679
84,사인(舍人),672
85,주서(注書),662
86,현감(縣監),661
87,검열(檢閱),661
88,판윤(判尹),656
89,우부승지(友副承旨),645
90,동지사(同知事),643
91,좌부승지(左副承旨),633
92,좌참찬(右參贊),629
93,우승지(右承旨),628
94,우부승지(右副承旨),621
95,함경감사(咸鏡監司),613
96,예조참의(禮曹參議),585
97,황해도관찰사(黃海道觀察使),583
98,좌부승지(佐副承旨),582
99,우참찬(右參贊),580
100,홍문관제학(弘文館提學),578
101,검토관(檢討官),565
102,호군(護軍),563
103,병사(兵使),545
104,충청도관찰사(忠淸道觀察使),538
105,참찬관(參撰官),524
106,병조참의(兵曹參議),523
107,보덕(輔德),517
108,황해감사(黃海監司),512
109,우찬성(友贊成),505
110,좌찬성(左贊成),501
111,사서(司書),498
112,문학(文學),493
113,좌찬성(右贊成),485
114,판관(判官),484
115,사헌부집의(司憲府執義),480
116,참찬관(參贊官),477
117,직제학(直提學),455
118,목사(牧使),454
119,참의(參議),451
120,형조참의(刑曹參議),450
121,예문관제학(藝文館提學),449
122,평안감사(平壤監司),448
123,군수(郡守),444
124,경상도관찰사(京尙道觀察使),443
125,봉조하(奉朝賀),439
126,우찬성(右贊成),435
127,상호군(上護軍),430
128,정랑(正郞),428
129,부사(府使),426
130,내관(內官),419
131,행호군(行護軍),414
132,도사(都事),414
133,감찰(監察),413
134,동래부사(東萊府使),410
135,우윤(右尹),407
136,호조참의(戶曹參議),399
137,강화유수(江華留守),399
138,어영대장(御營大將),391
139,총제(摠制),385
140,사간원사간(司諫院司諫),384
141,사간원헌납(司諫院獻納),383
142,종사관(從事官),380
143,병조좌랑(兵曹佐郞),380
144,병조정랑(兵曹正郞),376
145,병조참지(兵曹參知),375
146,중추원부사(中樞院副使),372
147,의주부윤(義州府尹),372
148,첨지중추원사(僉知中樞院事),371
149,영부사(領府事),371
150,개성유수(開城留守),367
151,홍문관교리(弘文官校理),364
152,전라도관찰사(全羅道觀察事),360
153,감사(監司),353
154,경상도관찰사(慶尙道觀察使),352
155,부호군(副護軍),350
156,강원감사(江原監司),348
157,기사관(記事官),344
158,검토관(儉討官),342
159,절도사(節度使),337
160,통제사(統制使),334
161,대호군(大護軍),333
162,평안도절도사(平安道節度使),328
163,사직(司直),326
164,공조참의(工曹參議),322
165,군관(軍官),321
166,동지중추부사(同知中樞副使),308
167,지신사(知申事),305
168,영부사(嶺府事),305
169,부사과(副司果),302
170,한성부윤(漢城府尹),300
171,동지중추원사(同知中樞院事),300
172,강원도관찰사(江原道觀察仕),300
173,함길도도절제사(咸吉道都節制使),299
174,행상호군(行上護軍),295
175,예방승지(禮房承旨),295
176,평안감사(平安監司),293
177,예문관제학(藝文官提學),292
178,지중추부사(知中樞副使),291
179,의정부우참찬(議政府右參贊),290
180,사은사(謝恩使),287
181,좌랑(佐郞),286
182,좌윤(左尹),284
183,영돈녕부사(領敦寧府事),284
184,전한(典翰),283
185,판중추원사(判中樞院事),281
186,도제조(都提調),281
187,제주목사(濟州牧使),279
188,의정부좌참찬(議政府左參贊),279
189,지경연(知經筵),277
190,훈련대장(訓練大將),275
191,판돈녕부사(判敦寧府使),274
192,예조정랑(禮曹正郞),274
193,찬성(贊成),272
194,동지사(冬至使),271
195,평안병사(平安兵使),270
196,예조좌랑(禮曹佐郞),270
197,홍문관수찬(弘文館修撰),269
198,함경도관찰사(咸慶道觀察使),269
199,전라도관찰사(全羅道觀察使),269
200,영사(令史),266
201,봉교(奉敎),266
202,충청감사(忠淸監使),263
203,지중추원사(知中樞院事),257
204,지중추부사(知中樞府事),252
205,북병사(北兵使),252
206,도제조(道提調),247
207,강원도관찰사(江原道觀察使),247
208,참봉(參奉),245
209,선전관(宣傳官),243
210,정자(正字),242
211,홍문관직제학(弘文館直提學),241
212,홍문관부교리(弘文館副校理),235
213,형조정랑(刑曹正郞),235
214,설서(說書),235
215,판결사(判決事),234
216,의정부의정(議政府議政),233
217,홍문관응교(弘文館應敎),228
218,경차관(敬差官),226
219,판한성부사(判漢城府事),225
220,충청감사(忠淸監司),222
221,동지중추부사(同知中樞府事),221
222,동의금(同義禁),218
223,의정부사인(議政府舍人),217
224,성절사(聖節使),216
225,대교(待敎),215
226,수원부사(水原府使),214
227,개성부유수(開城府留守),212
228,봉상사제조(奉常司提調),210
229,부사직(副司直),207
230,좌상(左相),204
231,도원수(都元帥),204
232,겸문학(兼文學),203
233,좌정승(左政丞),202
234,영돈녕부사(嶺敦寧府事),202
235,부제조(副提調),195
236,한성부우윤(漢城府右尹),194
237,동지경연사(同知經筵事),194
238,행사직(行司直),192
239,경력(經歷),192
240,좌사간(左司諫),191
241,가주서(假注書),189
242,예문제학(藝文提學),186
243,수사(水使),184
244,겸사서(兼司書),184
245,찬선(贊善),183
246,중추원사(中樞院使),182
247,영돈녕(領敦寧),182
248,역관(譯官),182
249,홍문관교리(弘文館校理),181
250,도체찰사(都體察使),180
251,한성부좌윤(漢城府左尹),179
252,금위대장(禁衛大將),179
253,좌랑(佐即),176
254,영안도관찰사(永安道觀察使),176
255,승정원동부승지(承政院同副承旨),176
256,정사(正使),175
257,전적(典籍),175
258,우정승(右政丞),174
259,부윤(府尹),171
260,홍문관부수찬(弘文館副修撰),169
261,의주목사(義州牧使),169
262,홍문관전한(弘文館典翰),167
263,지경연사(知徑筵事),166
264,주부(主簿),163
265,겸보덕(兼輔德),163
266,동지정사(冬至正使),162
267,형조좌랑(刑曹佐郞),160
268,영안북도절도사(永安北道節度使),160
269,양주목사(楊州牧使),160
270,첨사(僉使),159
271,참지(參知),158
272,충청병사(忠淸兵使),157
273,황해병사(黃海兵使),156
274,판중추(判中樞),156
275,우상(右相),156
276,박사(博士),156
277,대언(代言),155
278,회령부사(會寧府使),153
279,겸필선(兼弼善),151
280,좌대언(左代言),150
281,선전관(善傳官),149
282,수어사(守禦使),148
283,참찬(參贊),147
284,영상(領事),147
285,지의금부사(知義禁府事),146
286,어사(御史),145
287,강계부사(江界府使),145
288,나주목사(羅州牧使),143
289,지돈녕부사(知敦寧府事),142
290,전라도병마절도사(全羅道兵馬節度使),142
291,부호군(副濩軍),142
292,만호(萬戶),142
293,직장(直長),141
294,겸사복(兼司僕),141
295,가선대부(嘉善大夫),141
296,훈련대장(訓鍊大將),140
297,판돈녕(判敦寧),140
298,좌부빈객(左副賓客),140
299,우빈객(右賓客),140
300,호조정랑(戶曹正郞),139
301,판의금(判義禁),139
302,암행어사(京畿暗行御史),139
303,검상(檢詳),139
304,동지(同知),138
305,경효전제조(景孝殿提調),138
