1396-08-29L0	인사-관리(管理) 사법-재판(裁判) 
1396-09-05L0	사법-행형(行刑) 인사-관리(管理) 
1451-11-12L0	인사-관리(管理) 사법-치안(治安) 왕실-종사(宗社) 인물(人物) 상업(商業) 
1757-08-12L0	왕실(王室) 군사-중앙군(中央軍) 
1765-11-02L0	인사-관리(管理) 
1418-09-16L0	재정-진상(進上) 농업-농작(農作) 
1418-10-28L0	왕실-의식(儀式) 왕실-국왕(國王) 사법-탄핵(彈劾) 변란(變亂) 정론(政論) 
1418-11-08L0	과학-천기(天氣) 왕실-의식(儀式) 
1418-11-10L0	왕실-사급(賜給) 예술-음악(音樂) 
1418-12-13L0	인사-선발(選拔) 역사-고사(故事) 
1418-12-24L0	왕실-의식(儀式) 
1419-01-01L0	왕실-의식(儀式) 예술-음악(音樂) 역사-고사(故事) 역사-전사(前史) 의생활(衣生活) 
1419-04-17L0	인사-임면(任免) 
1419-06-08L0	사상-토속신앙(土俗信仰) 사상-도교(道敎) 
1419-09-25L0	인사-임면(任免) 인사-관리(管理) 
1419-09-27L0	인사-임면(任免) 
1419-12-07L0	인사-임면(任免) 
1420-01-29L1	정론(政論) 왕실-행행(行幸) 왕실-의식(儀式) 식생활-기명제물(器皿祭物) 재정-공물(貢物) 재정-역(役) 재정-창고(倉庫) 상업(商業) 공업(工業) 신분-천인(賤人) 구휼(救恤) 군사(軍事) 행정-지방행정(地方行政) 금융-화폐(貨幣) 사법-행형(行刑) 사법-법제(法制) 농업-양잠(養蠶) 농업-축산(畜産) 인사-임면(任免) 
1420-10-17L0	인사-임면(任免) 인사-관리(管理) 외교-왜(倭) 
1420-11-09L0	왕실-의식(儀式) 왕실-사급(賜給) 
1420-12-15L0	사법-행형(行刑) 인사-관리(管理) 
1421-02-05L0	왕실-사급(賜給) 인사-관리(管理) 
1421-05-21L0	인사-임면(任免) 가족-가산(家産) 
1421-10-02L0	사상-도교(道敎) 사상-토속신앙(土俗信仰) 군사-군정(軍政) 역사-전사(前史) 
1421-10-10L0	왕실-의식(儀式) 
1421-10-25L0	왕실-의식(儀式) 군사-관방(關防) 건설-토목(土木) 
1421-11-15L0	정론-정론(政論) 정론-간쟁(諫諍) 사법-탄핵(彈劾) 윤리(倫理) 
1421-12-07L0	인사-임면(任免) 인물(人物) 외교-왜(倭) 건설-건축(建築) 건설-토목(土木) 
1421-12-21L0	왕실-의식(儀式) 왕실-사급(賜給) 
