,career,soldate,rdate,level
0,부교리(副校理),1415-07-09,8373,9
1,예조(禮曹)좌랑(佐郞),1416-11-24,8877,8
2,좌랑(佐郞),1417-05-29,9063,8
3,좌랑(佐郞),1419-02-13,9688,8
4,병조(兵曹)정랑(正郞),1421-04-29,10494,10
5,집현전응교(集賢殿應敎),1423-05-03,11228,12
6,예문응교(藝文應敎),1427-03-09,12634,12
7,집현전직제학(集賢殿直提學),1427-04-16,12672,14
8,직제학(直提學),1427-08-15,12793,14
9,좌필선(左弼善),1427-08-28,12806,12
10,서장관겸검찰관(書狀官兼檢察官),1427-09-20,12829,0
11,집현전부제학(集賢殿副提學),1429-05-29,13446,14
12,부제학(副提學),1429-06-27,13475,14
13,부제학(副提學),1429-06-30,13478,14
14,부제학(副提學),1430-08-28,13902,14
15,부제학(副提學),1430-10-16,13951,14
16,부제학(副提學),1430-11-08,13974,14
17,시강관(侍講官),1430-11-29,13995,12
18,세자빈객(世子賓客),1431-03-21,14107,16
19,독권관(讀券官),1432-05-11,14524,0
20,제학(提學),1432-07-20,14594,15
21,제학(提學),1432-11-23,14720,15
22,동지춘추관사(同知春秋館事),1432-12-19,14746,15
23,제학(提學),1433-01-01,14759,15
24,예문제학(藝文提學),1433-02-17,14806,15
25,예문제학(藝文提學),1433-07-23,14962,15
26,제학(提學),1433-07-31,14970,15
27,간의제조(簡儀提調),1433-10-09,15040,15
28,이조(吏曹)좌참판(左參判),1434-05-31,15274,15
29,예문관(藝文館)제학(藝文官提學),1434-11-30,15457,15
30,제학(提學),1435-04-19,15597,15
31,가대사성(假大司成),1435-04-21,15599,14
32,예문제학(藝文提學),1435-07-03,15672,15
33,충청도도관찰사(忠淸道都觀察使),1435-07-24,15693,15
34,충청도감사(忠淸道監司),1436-01-05,15858,15
35,충청도감사(忠淸道監司),1436-03-09,15922,15
36,충청도감사(忠淸道監司),1436-09-01,16098,15
37,충청도감사(忠淸道監司),1436-09-17,16114,15
38,충청도감사(忠淸道監司),1436-11-05,16163,15
39,참판(參判),1439-05-29,17098,15
40,참판(參判),1439-09-24,17216,15
41,예문관(藝文館)제학(提學),1439-10-13,17235,15
42,형조(刑曹)참판(參判),1440-05-02,17437,15
43,형조(刑曹)판서(判書),1440-06-02,17468,16
44,판서(判書),1440-09-24,17582,16
45,판서(判書),1440-11-10,17629,16
46,지중추원사(知中樞院事),1440-12-06,17655,15
