1455-02-04L0	사복시 소윤(司僕寺小尹)
1456-06-04L0	동부승지(同副承旨)
1456-06-08L0	동부승지(同副承旨)
1456-06-16L0	동부승지(同副承旨)
1456-07-14L0	우부승지(友副承旨)
1456-08-23L0	우부승지(右副承旨)
1456-09-07L0	우부승지(右副承旨)
1456-11-11L0	좌부승지(左副承旨)
1456-12-04L0	좌부승지(左副承旨)
1456-12-28L0	좌부승지(左副承旨)
1457-01-02L0	좌부승지(左副承旨)
1457-01-09L0	좌부승지(左副承旨)
1457-02-01L0	좌부승지(左副承旨)
1457-02-22L0	우부승지(右副承旨)
1457-03-15L0	좌부승지(左副承旨)
1457-03-16L0	좌부승지(左副承旨)
1457-03-23L0	좌부승지(左副承旨)
1457-03-25L0	좌부승지(左副承旨)
1457-04-04L0	좌부승지(左副承旨)
1457-04-23L0	좌부승지(左副承旨)
1457-04-25L0	좌부승지(左副承旨)
1457-05-06L0	좌부승지(左副承旨)
1457-05-25L0	좌부승지(左副承旨)
1457-05-27L0	좌부승지(左副承旨)
1457-06-02L0	우부승지(右副承旨)
1457-06-15L0	좌부승지(左副承旨)
1457-08-01L0	당직 승지(當直承旨)
1457-08-02L0	좌부승지(左副承旨)
1457-08-09L0	좌부승지(左副承旨)
1457-08-14L0	우승지(古承旨)
1457-08-18L0	우승지(右承旨)
1457-08-21L0	우승지(右承旨)
1457-08-22L0	우승지(右承旨)
1457-09-03L0	좌승지(左承旨)
1457-09-25L0	우승지(古承旨)
1457-09-27L0	우승지(古承旨)
1458-02-09L0	우승지(古承旨)
1458-02-10L0	우승지(古承旨)
1458-02-13L1	우승지(古承旨)
1458-02-13L0	우승지(古承旨)
1458-05-21L0	우승지(古承旨)
1458-06-26L0	우승지(右承旨)
1458-08-10L0	우승지(右承旨)
1458-08-13L0	우승지(右承旨)
1458-08-21L0	승지(承旨)
1460-11-10L0	호조 참판(戶曹參判)
1461-02-03L0	강원·황해·평안도 사민 안집 도순찰사(江原黃海平安道徙民安集都巡察使)
1461-02-03L0	강원·황해·평안도 도순찰사(江原黃海平安道都巡察使)
1461-02-23L0	평안·황해 도순찰사(平安黃海道巡察使)
1461-05-10L0	사민 안집 도순찰사(徙民安集都巡察使)
1461-05-11L0	호조 참판(戶曹參判)
1461-05-25L0	형조 참판(刑曹參判)
1461-06-06L0	황해도·평안도·강원도 도순찰사(黃海道·平安道·江原道都巡察使)
